created,text,retweetCount
2017-06-29 04:32:10,RT @SreenivasanJain: More on the cash crunch in Maharashtra Coop banks: @IndianExpress traces a precipitous drop in crop loans. https://t.c…,13
2017-06-29 04:30:21,"RT @BFSIPost: ""How #DeMonetisation transformed #Banking in #India?"": @sumnesh_joshi, ADG, @UIDAI, @GovtOfIndia_ at #BFSI_Payments
https://t…",4
2017-06-29 04:29:46,More on the cash crunch in Maharashtra Coop banks: @IndianExpress traces a precipitous drop in crop loans. https://t.co/Mlffv4pHH5,13
2017-06-29 04:28:06,But this government ate my Rs 15000 in demonetisation how can I trust this government and come back..? @SushmaSwaraj https://t.co/ivDhSUK35f,0
2017-06-29 04:27:47,"RT @INCChhattisgarh: From economic slowdown to farmers distress: The damage caused by demonetisation begins to hit home

https://t.co/xGYbW…",26
2017-06-29 04:27:25,Are the demons of demonetisation starting to haunt the government?,0
2017-06-29 04:27:06,RT @sanjayuvacha: Didn't you get the GPS chip #DeMonetisation award? https://t.co/avo9sms7tU,146
2017-06-29 04:25:45,@dhume @SrBachchan Didn't we weather Demonetisation Effect..same don't worry 2much as though u r paying up the whol… https://t.co/WpCTBVkmDb,0
2017-06-29 04:25:38,@HimanshuDelhiOn @Shehla_Rashid @TimesNow @republic @StopMobLynching @narendramodi just cause you love your ego mor… https://t.co/HQu0XJREcI,0
2017-06-29 04:23:45,"@HimanshuDelhiOn @Shehla_Rashid @TimesNow @republic @StopMobLynching Hundreds died cause of #DeMonetisation, hundre… https://t.co/60Z0OJ9msX",0
2017-06-29 04:23:32,@DanishKh4n Demonetisation did push many towards mobile usage. Ambani became the catalyst.,0
2017-06-29 04:23:20,RT @sanjayuvacha: Didn't you get the GPS chip #DeMonetisation award? https://t.co/avo9sms7tU,146
2017-06-29 04:23:12,"RT @INCChhattisgarh: From economic slowdown to farmers distress: The damage caused by demonetisation begins to hit home

https://t.co/xGYbW…",26
2017-06-29 04:22:42,@FinancialXpress Demonetisation!! Lolzzz,0
2017-06-29 04:22:39,RT @sanjayuvacha: But wasn't  #DeMonetisation about curbing stone throwing and terrorism? https://t.co/bdwNWBYtRo,15
2017-06-29 04:21:37,"RT @IMMugdhaSingh: They are printing Rs 200 notes, and I have a feeling that, this time, they'll invalidate our 100 rupee note. #DeMonetisa…",5
2017-06-29 04:21:35,"If #DeMonetisation of 2000 note happens one can't help but applaud vision of RBI &amp; govt of India. 
Printing of Rs 2… https://t.co/axUT5EwiFV",0
2017-06-29 04:21:03,RT @sanjayuvacha: Didn't you get the GPS chip #DeMonetisation award? https://t.co/avo9sms7tU,146
2017-06-29 04:20:16,RT @sanjayuvacha: But wasn't  #DeMonetisation about curbing stone throwing and terrorism? https://t.co/bdwNWBYtRo,15
2017-06-29 04:19:01,"RT @INCChhattisgarh: From economic slowdown to farmers distress: The damage caused by demonetisation begins to hit home

https://t.co/xGYbW…",26
2017-06-29 04:18:08,RT @SanjitPradhan1: @ImRaina @narendramodi @_PriyankaCRaina @grfCare @PMOIndia @DutchMFA @IndinNederlands Did u ask him ..how much black mo…,1
2017-06-29 04:18:03,RT @sanjayuvacha: Didn't you get the GPS chip #DeMonetisation award? https://t.co/avo9sms7tU,146
2017-06-29 04:17:19,RT @digvijaya_28: They have done it again. First Demonetisation without printing of New Notes and now GST without Tax Returns for the Tax p…,146
2017-06-29 04:16:36,RT @sanjayuvacha: But wasn't  #DeMonetisation about curbing stone throwing and terrorism? https://t.co/bdwNWBYtRo,15
2017-06-29 04:14:40,RT @sanjayuvacha: But wasn't  #DeMonetisation about curbing stone throwing and terrorism? https://t.co/bdwNWBYtRo,15
2017-06-29 04:14:35,RT @payami_: Demonetisation has hardly effected the Kashmir valley and the situation is from bad to worse. Sanghis only fooled them self. h…,8
2017-06-29 04:12:39,"@dhume @Memeghnad @SrBachchan We all know what actually Demonetisation was
. we'll see what GST will be.",0
2017-06-29 04:12:22,RT @sanjayuvacha: Didn't you get the GPS chip #DeMonetisation award? https://t.co/avo9sms7tU,146
2017-06-29 04:12:17,"@the_hindu Grades of Corruption soaring, post demonetisation!
What'll happen post GST, yet to be analysed!… https://t.co/jEG6M8TNfp",0
2017-06-29 04:06:36,RT @businessline: How are electronic transactions faring post-demonetisation? https://t.co/MvXLDdmiYT https://t.co/kJ7ilO1XVk,1
2017-06-29 04:06:04,"RT @SiddharthAulia: Demonetisation was good, but failed due to poor Governance. Idea of #GST is good, but it is going to fail because of co…",21
2017-06-29 04:05:04,RT @sanjayuvacha: Didn't you get the GPS chip #DeMonetisation award? https://t.co/avo9sms7tU,146
2017-06-29 04:04:33,RT @sanjayuvacha: Didn't you get the GPS chip #DeMonetisation award? https://t.co/avo9sms7tU,146
2017-06-29 04:04:30,RT @Phaniraj_JDS: Regional languages been suppressed and Hindi imposed in Post-Demonetization with new currencies. #DeMonetisation #HindiIm…,7
2017-06-29 04:03:26,RT @sanjayuvacha: Didn't you get the GPS chip #DeMonetisation award? https://t.co/avo9sms7tU,146
2017-06-29 04:03:15,"RT @SiddharthAulia: Demonetisation was good, but failed due to poor Governance. Idea of #GST is good, but it is going to fail because of co…",21
2017-06-29 04:02:38,RT @MandarSawant184: Patrakars n Liberals like @dhume crying about #DeMonetisation and #GST forget that the credibility of the implementor…,1
2017-06-29 04:02:08,How are electronic transactions faring post-demonetisation? https://t.co/MvXLDdmiYT https://t.co/kJ7ilO1XVk,1
2017-06-29 04:01:58,After demonetisation of course.. https://t.co/0G8ilguKl2,0
2017-06-29 04:01:17,"@RBI showcase new Printing of Rs 200 with various colours.🙄
#DeMonetisation #futureofwork #200 #WednesdayWisdom https://t.co/FNY7VuTYOK",4
2017-06-29 04:01:15,"RT @IMMugdhaSingh: They are printing Rs 200 notes, and I have a feeling that, this time, they'll invalidate our 100 rupee note. #DeMonetisa…",5
2017-06-29 04:00:37,"More Than Seven Months After Demonetisation, The RBI Has Started Printing ₹200 Notes: Report https://t.co/XFm8gMUw2U",0
2017-06-29 03:59:58,"RT @RenukaJain6: 540 firms post profit for 10 straight quarters; 10 rise 1,000% in 2 years. Demonetisation critics?  Where r you ? https://…",12
2017-06-29 03:59:33,"RT @RealNabeelKhan: Is #GST going to be another killer of Indian market after demonetisation ? Eating out, hotel room, insurance bill, mobi…",4
